Case No,Category Name
KM-19185,Crop Insurance
KM-19184,Crop Insurance
KM-19183,Crop Insurance
KM-19182,Crop Insurance
KM-19181,Crop Insurance
KM-19180,Crop Insurance
KM-19179,Crop Insurance
KM-19178,Crop Insurance
KM-19177,Crop Insurance
KM-19176,Crop Insurance
KM-19173,Crop Insurance
KM-19171,Crop Insurance
KM-19172,Crop Insurance
KM-19174,Crop Insurance
KM-19175,Crop Insurance
KM-19166,Crop Insurance
KM-19167,Crop Insurance
KM-19168,Crop Insurance
KM-19169,Crop Insurance
KM-19170,Crop Insurance
KM-19152,Crop Insurance
KM-19156,Crop Insurance
KM-19164,Crop Insurance
KM-19165,Crop Insurance
KM-19161,Crop Insurance
KM-19162,Crop Insurance
KM-19163,Crop Insurance
KM-19160,Crop Insurance
KM-19159,Crop Insurance
KM-19158,Crop Insurance
KM-19157,Crop Insurance
KM-19154,Crop Insurance
KM-19155,Crop Insurance
KM-19153,Crop Insurance
KM-19150,Crop Insurance
KM-19151,Crop Insurance
KM-19149,Crop Insurance
KM-19148,Crop Insurance
KM-19147,Crop Insurance
KM-19118,Crop Booking
KM-19146,Crop Insurance
KM-18137,Subsidy
KM-19143,Animal Issues
KM-19140,Crop Booking
KM-19141,Crop Booking
KM-19142,Crop Booking
KM-19139,Crop Booking
KM-19130,Drip
KM-19131,Drip
KM-19132,Drip
KM-19133,Drip
KM-19127,Animal death
KM-19129,Animal Issues
KM-19128,Animal death
KM-19048,Pest attack
KM-19116,Pest attack
KM-19117,Land Corrections
KM-19113,PMEGP issue
KM-18825,Information
KM-19070,Information
KM-19071,Information
KM-19072,Information
KM-19114,current wires hanging in the field
KM-19112,PMEGP issue
KM-06009,Pest attack
KM-08793,Crop Loss
KM-19108,Drip
KM-19109,Drip
KM-13271,Transformer Issue
KM-19086,Drip
KM-18933,Drip
KM-19085,Drip
KM-19082,Information
KM-19081,Information
KM-19077,Information
KM-19079,Information
KM-19029,Information
KM-19055,Pest attack
KM-19073,Aasara Pensions - Widow
KM-19074,Horticulture Inputs
KM-12997,Market Issues
KM-18846,Amma vodi
KM-19069,Aasara Pensions - Widow
KM-19067,Vegetables Pandals
KM-12133,Locust Swarm
KM-14572,Information
KM-15117,Information
KM-15240,Information
KM-15243,Information
KM-12903,Information
KM-12457,Information
KM-13559,Pest attack
KM-12901,Information
KM-12867,Category not assigned
KM-12683,Information
KM-12597,Information
KM-12594,Information
KM-12553,Information
KM-12516,Information
KM-12653,Pest attack
KM-12666,Information
KM-13558,Information
KM-14565,Information
KM-14563,Pest attack
KM-15233,Kisan Samman
KM-18367,Rythu Bharosa
KM-19066,Information
KM-19064,Drone Training
KM-19063,Information
KM-19062,Information
KM-19060,"1B, Adangal"
KM-19059,PMEGP issue
KM-19051,land issue
KM-19058,Information
KM-18912,Crop Insurance - Claim
KM-18872,Agriculture Inputs
KM-19049,Issue of Patta-Assigned land
KM-19045,Suicide Case
KM-19031,Subsidy
KM-19047,Pest attack
KM-19046,PMEGP issue
KM-19044,PMEGP issue
KM-19043,Information
KM-19039,Crop Loss
KM-19041,Crop Loss
KM-19040,Crop Loss
KM-19035,Aasara Pensions - Disability
KM-19037,Drip
KM-19036,Aasara Pensions - Disability
KM-18978,Plants
KM-18911,Horticulture Inputs
KM-12811,Online Pahani
KM-19030,Information
KM-19027,Information
KM-19022,Drip
KM-19023,Drip
KM-19024,Drip
KM-19025,Drip
KM-19026,Drip
KM-19021,Land Corrections
KM-19020,Electrocution
KM-19019,Agriculture Inputs
KM-18916,Information
KM-19018,Kisan Samman
KM-18875,Kisan Samman
KM-18970,Subsidy
KM-18977,2021- Kharif crop loss
KM-19017,Drip
KM-17622,Subsidy
KM-18982,NREGS-Job card
KM-19001,NREGS-Job card
KM-19014,NREGS-Job card
KM-18988,NREGS-Job card
KM-19013,NREGS-Job card
KM-19012,NREGS-Job card
KM-18997,NREGS-Job card
KM-19011,NREGS-Job card
KM-18993,NREGS-Job card
KM-19000,NREGS-Job card
KM-18995,NREGS-Job card
KM-18985,NREGS-Job card
KM-18990,NREGS-Job card
KM-18994,NREGS-Job card
KM-18986,NREGS-Job card
KM-19005,Plants
KM-19004,NREGS-Delay/Low wages
KM-19002,NREGS-Job card
KM-18999,NREGS-Job card
KM-18998,NREGS-Job card
KM-18996,NREGS-Job card
KM-18992,NREGS-Job card
KM-18991,NREGS-Job card
KM-18989,NREGS-Job card
KM-18980,NREGS-Job card
KM-18987,NREGS-Job card
KM-18984,NREGS-Job card
KM-18983,NREGS-Job card
KM-18981,NREGS-Job card
KM-18976,NREGS-Delay/Low wages
KM-18961,NREGS-Delay/Low wages
KM-18964,NREGS-Delay/Low wages
KM-18963,NREGS-Delay/Low wages
KM-18960,NREGS-Delay/Low wages
KM-18959,NREGS-Delay/Low wages
KM-18958,NREGS-Delay/Low wages
KM-18937,NREGS-Delay/Low wages
KM-18957,NREGS-Delay/Low wages
KM-18955,NREGS-Delay/Low wages
KM-18950,NREGS-Delay/Low wages
KM-18947,NREGS-Delay/Low wages
KM-18943,NREGS-Delay/Low wages
KM-18944,NREGS-Delay/Low wages
KM-18942,NREGS-Delay/Low wages
KM-18941,NREGS-Delay/Low wages
KM-18940,NREGS-Delay/Low wages
KM-18939,NREGS-Delay/Low wages
KM-18938,NREGS-Delay/Low wages
KM-18932,NREGS-Delay/Low wages
KM-18375,Kisan Samman
KM-18975,NREGS Payment
KM-18374,Kisan Samman
